gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT4G27850,0,0,0,0,0,0,0,0,3,0,0,0
AT4G27852,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27860,0,0,0,8,0,0,25,10,16,0,0,0
AT4G27870,0,0,0,21,7,33,83,99,270,0,0,0
AT4G27875,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27880,0,0,0,21,0,24,55,34,54,0,0,0
AT4G27885,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27890,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27900,0,0,0,13,0,15,44,38,72,0,0,0
AT4G27910,0,0,0,20,0,16,45,13,47,0,0,0
AT4G27920,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27930,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27940,0,0,0,11,0,0,23,0,0,0,0,0
AT4G27950,0,0,0,2,0,5,9,10,26,0,0,0
AT4G27960,0,0,0,95,0,18,253,134,131,13,0,0
AT4G27970,0,0,0,0,0,0,0,0,10,3,0,0
AT4G27980,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27990,3,2,3,83,8,36,88,115,63,3,2,0
AT4G28000,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28005,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28010,6,0,0,0,0,3,11,10,12,0,0,0
AT4G28020,0,0,0,0,0,0,5,0,23,0,0,0
AT4G28025,0,0,0,31,0,22,190,77,92,6,0,0
AT4G28030,0,0,0,81,0,29,250,92,89,0,0,0
AT4G28040,0,0,0,6,0,37,3,74,212,0,0,0
AT4G28050,0,0,0,13,0,0,31,0,35,0,0,0
AT4G28060,0,0,0,17,0,7,68,36,17,0,0,0
AT4G28068,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28070,0,0,0,0,0,0,24,0,19,0,0,0
AT4G28080,13,0,0,691,0,249,1206,45,782,15,0,0
AT4G28085,0,3,0,0,0,0,14,12,29,0,0,0
AT4G28088,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28090,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28100,0,0,0,17,0,4,59,20,39,0,0,0
AT4G28110,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28130,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28140,0,0,0,4,0,3,5,3,0,2,0,0
AT4G28150,0,0,0,6,0,0,12,15,15,0,0,0
AT4G28160,0,0,0,0,0,2,1,0,0,0,0,0
AT4G28162,0,0,0,0,0,2,0,0,0,0,0,0
AT4G28170,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28180,0,0,0,14,0,13,21,6,14,3,0,0
AT4G28181,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28190,0,0,0,0,0,15,13,0,50,0,0,0
AT4G28200,0,0,0,37,0,0,96,34,117,0,0,0
AT4G28210,0,0,0,5,0,0,43,17,18,0,0,0
AT4G28220,0,0,0,15,0,28,65,20,49,0,0,0
AT4G28230,0,0,0,10,0,0,33,2,17,0,0,0
AT4G28240,0,0,0,109,31,55,260,405,334,8,0,0
AT4G28250,0,0,0,80,0,0,311,0,0,8,0,0
AT4G28260,8,0,0,21,8,61,161,125,274,6,0,0
AT4G28270,0,0,0,25,7,17,57,124,76,3,0,0
AT4G28280,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28290,0,0,0,0,0,0,7,6,9,0,0,0
AT4G28300,6,0,8,119,0,55,87,78,87,11,0,0
AT4G28310,0,0,0,0,0,0,10,0,0,0,0,0
AT4G28320,0,0,0,6,0,0,17,0,6,0,0,0
AT4G28330,0,0,0,6,0,0,16,5,5,0,0,0
AT4G28340,0,0,0,0,0,0,2,3,0,0,0,0
AT4G28350,0,0,0,14,0,6,51,54,43,5,0,0
AT4G28360,0,0,0,15,0,7,45,0,16,0,0,0
AT4G28362,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28365,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28370,0,0,0,25,0,11,90,23,51,0,0,0
AT4G28380,0,0,0,1,0,1,0,0,0,0,0,0
AT4G28390,0,0,0,14,3,14,66,75,28,0,0,0
AT4G28395,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28397,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28400,0,0,0,44,0,25,197,62,91,0,0,0
AT4G28405,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28410,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28420,0,0,0,0,0,0,5,0,0,0,0,0
AT4G28430,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28440,0,0,0,37,0,8,121,46,67,0,0,0
AT4G28450,0,0,0,14,0,0,41,27,48,0,0,0
AT4G28460,0,0,0,0,0,2,0,0,0,3,0,0
AT4G28470,0,0,0,52,0,15,187,48,136,8,0,0
AT4G28480,0,0,3,51,0,12,155,31,75,0,0,0
AT4G28485,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28490,0,0,0,117,3,17,216,106,89,0,0,0
AT4G28500,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28510,0,0,0,15,0,0,63,25,47,0,0,0
AT4G28520,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28530,0,0,0,0,0,0,0,0,0,0,0,0
AT4G28540,0,0,0,33,0,15,126,28,73,0,0,0
AT4G28550,0,5,0,0,0,3,39,0,10,0,0,0
AT4G28556,0,0,0,0,0,0,0,0,0,0,0,0
