"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G35060",18.2137781740583,-5.15980509068039,1.57872336402895,-3.26834023505703,0.00108180233852097,0.0283784035752661
"AT2G37170",10.025272543608,-4.35609832022534,1.3388147249436,-3.25369764693084,0.00113913451456651,0.0283784035752661
"AT3G13670",10.3739025246294,-4.35669002934653,1.34304125893931,-3.2438988752939,0.00117905597819854,0.0283784035752661
"AT3G56140",9.6262475402961,-4.28939720290881,1.32181253309503,-3.24508740499318,0.00117414578339819,0.0283784035752661
"AT4G04770",18.4908103414327,-5.03822627616089,1.54301807373967,-3.26517644991041,0.00109395905809098,0.0283784035752661
"AT4G09320",12.1344803437557,-4.22453437895013,1.29655896214841,-3.25826630510504,0.00112095159790749,0.0283784035752661
"AT5G08450",9.52335325966502,-4.26110185610658,1.30692889712768,-3.26039302174088,0.0011125792855193,0.0283784035752661
"AT5G11500",12.2341295775934,-4.38941362771723,1.34979229856007,-3.25191781905984,0.00114629159956483,0.0283784035752661
"AT5G20010",31.3691810603411,-4.74062249899624,1.45867721249214,-3.24994622415258,0.00115426833140999,0.0283784035752661
"AT5G24690",28.9811178748116,-5.18706932701385,1.58509131809682,-3.27241040802736,0.00106634662496862,0.0283784035752661
"AT5G35160",9.26513350539501,-4.31344074495512,1.31683351555204,-3.27561585729146,0.00105431859992239,0.0283784035752661
"AT5G40170",15.1417913569958,-4.13286339368043,1.26530510300694,-3.26629789436466,0.00108963557071426,0.0283784035752661
"AT5G67030",39.420033987624,-6.23550323717694,1.92193422597323,-3.24438950766871,0.00117702672448794,0.0283784035752661
